Rk,Player,Position,Game,Games Started,Mins Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Points,Awards
342,Luke Kornet,C,73,16,18.6,2.6,3.8,0.668,0,0,0,2.6,3.8,0.675,0.668,0.9,1.3,0.691,2.6,2.7,5.3,1.5,0.7,0.4,1.4,1.7,19,
344,Isaiah Stewart,C,72,4,19.9,2.4,4.4,0.559,0.2,0.7,0.321,2.2,3.6,0.607,0.586,0.9,1.2,0.759,1.8,3.7,5.5,5,1.6,1,2.9,1.9,18.9,
345,James Wiseman,C,1,0,5,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,3.4,0.9,0.4,1.7,1.8,18.8,
354,Moses Brown,C,13,2,9.2,2.6,3.8,0.694,0,0,,2.6,3.8,0.694,0.694,0.6,0.8,0.727,0.9,2.5,3.4,4.7,0.7,0.2,2.8,2.5,18.7,
355,Adem Bona,C,58,11,15.6,2.3,3.3,0.703,0,0,0,2.3,3.3,0.707,0.703,1.2,1.7,0.67,1.6,2.6,4.2,9.2,1.4,0.7,1.6,1.3,18.6,NBA3
357,Robert Williams,C,20,3,17.6,2.5,3.9,0.641,0.1,0.2,0.333,2.5,3.8,0.653,0.647,0.8,0.9,0.882,1.8,4.2,5.9,3.2,0.9,1.6,2,2,18.5,"MVP-10,DPOY-1,AS,NBA2,DEF1"
358,Moussa Diabaté,C,71,8,17.5,2.4,3.9,0.596,0,0.1,0,2.4,3.9,0.609,0.596,1,1.6,0.595,2.6,3.5,6.2,2.8,0.9,0.2,2.1,1.7,18.5,
377,Bismack Biyombo,C,28,26,18.9,2.4,4.1,0.588,0,0,,2.4,4.1,0.588,0.588,0.4,0.9,0.4,1.5,4.1,5.6,3.5,0.8,0.7,1.6,2.2,18.5,
378,Mitchell Robinson,C,17,3,17.1,2.2,3.3,0.661,0,0,,2.2,3.3,0.661,0.661,0.8,1.1,0.684,3.1,2.9,5.9,4.2,0.7,0.1,2.5,2.3,18.4,
379,Kai Jones,C,40,6,11.7,2.2,2.7,0.798,0,0.1,0.2,2.2,2.6,0.827,0.803,0.6,0.8,0.719,1,2.1,3.1,2.1,0.6,0.5,1.4,2,18.2,
382,Neemias Queta,C,62,6,13.9,2.1,3.3,0.65,0,0,0,2.1,3.2,0.66,0.65,0.7,1,0.754,1.4,2.4,3.8,4.3,1.3,0.7,2.1,2.1,18.1,DPOY-10
387,Jock Landale,C,42,3,11.9,1.9,3.6,0.533,0.3,0.6,0.423,1.7,3,0.556,0.569,0.6,1,0.675,1.3,1.9,3.3,2.6,1,0.8,1.7,1.7,18,
388,Colin Castleton,C,26,4,16.6,1.8,3.8,0.469,0.1,0.6,0.125,1.7,3.2,0.537,0.48,1.1,1.5,0.763,2,2.7,4.7,2.2,1.5,0.9,1.4,2.3,18,
391,Drew Eubanks,C,61,4,12.2,1.9,3.2,0.593,0,0.1,0.5,1.8,3.1,0.596,0.601,0.8,1.2,0.662,1,2.7,3.7,3.7,0.9,0.5,1.6,1.5,17.6,
397,Kevon Looney,C,76,6,15,1.9,3.7,0.514,0,0.1,0.4,1.9,3.6,0.516,0.518,0.7,1.3,0.566,2.4,3.6,6.1,4,0.9,0.4,3,2.2,17.6,
